id,title,year,budget,revenue
14577,Dirty Work,1998,13000000,10020081
19052,Light It Up,1999,13000000,5871603
9683,Bubble Boy,2001,13000000,5002310
2084,Birthday Girl,2001,13000000,8130727
13074,Resurrecting the Champ,2007,13000000,3260555
48217,The Widow of Saint-Pierre,2000,0,0
44853,The Claim,2000,13000000,1375635
407887,Operation Chromite,2016,12700000,49196532
17043,The Crocodile Hunter: Collision Course,2002,12500000,33436931
17187,The Emperor's Club,2002,12500000,16193713
59457,Womb,2010,13000000,0
37414,The Killer Inside Me,2010,13000000,5453369
6217,Cat People,1982,134000,8000000
43867,The Prisoner of Zenda,1937,12500000,7000000
39780,Oscar and Lucinda,1997,12500000,1612957
11658,Tae Guk Gi: The Brotherhood of War,2004,0,0
3179,Beavis and Butt-Head Do America,1996,12000000,63118386
10437,The Muppet Christmas Carol,1992,12000000,27972958
284296,Top Five,2014,12000000,26001741
11354,The Upside of Anger,2005,12000000,28915761
16241,The Boys from Brazil,1978,12000000,19000000
26710,My Baby's Daddy,2004,12000000,17322212
9059,Tales from the Crypt: Demon Knight,1995,12000000,21089146
28353,Def Jam's How to Be a Player,1997,12000000,14010363
38093,Just Wright,2010,12000000,21867665
14976,Rachel Getting Married,2008,12000000,17475475
11027,The Postman Always Rings Twice,1981,12000000,44200000
3635,Girl with a Pearl Earring,2003,12000000,43153588
6020,Sorority Boys,2002,12000000,12516222
122906,About Time,2013,12000000,88538742
9550,House of Flying Daggers,2004,12000000,92863945
14299,Cadillac Records,2008,12000000,8942516
19419,Screwed,2000,12000000,6982680
9466,Celebrity,1998,12000000,6200000
14778,Last Orders,2001,12000000,2326407
45226,The Pursuit of D.B. Cooper,1981,0,0
10212,Ravenous,1999,12000000,2062406
8669,Charlie Bartlett,2008,12000000,5295909
16857,The Dangerous Lives of Altar Boys,2002,12000000,1779284
8060,Married Life,2007,12000000,2975188
15907,Duma,2005,12000000,994790
9260,Welcome to Collinwood,2002,12000000,4606284
61337,Critical Care,1997,12000000,220175
13079,The Life Before Her Eyes,2007,0,0
89325,Darling Companion,2012,12000000,1200346
4170,Trade,2007,12000000,1513388
41508,Fateless,2005,12000000,196857
12479,Breakfast of Champions,1999,12000000,178287
44555,"A Woman, a Gun and a Noodle Shop",2009,0,0
10133,Cypher,2002,0,0
26466,Triangle,2009,12000000,1594955
345003,10 Days in a Madhouse,2015,12000000,14616
357837,Dancin' It's On,2015,12000000,0
13889,Madadayo,1993,11900000,49451
18530,The Cry of the Owl,2009,0,0
358451,A Tale of Three Cities,2015,0,0
206563,Trash,2014,0,513168
11887,High School Musical 3: Senior Year,2008,11000000,274392880
256092,Drive Hard,2014,12000000,0
10748,St. Trinian's,2007,11400000,29830239
11184,Kinsey,2004,11000000,17443529
766,Army of Darkness,1992,11000000,21502976
11109,Vera Drake,2004,11000000,13353855
9027,The Guru,2002,11000000,24150550
11065,O,2001,0,1400093
13994,Romance & Cigarettes,2005,11000000,3231251
1590,Copying Beethoven,2006,11000000,6586324
62728,Brighton Rock,2010,0,46466
45138,Machine Gun McCain,1969,0,0
80271,LOL,2012,11000000,10477506
4657,Jindabyne,2006,10800000,2862544
190847,The Last Days on Mars,2013,10600000,261364
11056,Darkness,2002,10600000,34409206
25379,The Blue Butterfly,2004,10400000,1610194
58051,Housefull,2010,10100000,18726300
14877,September Dawn,2007,10100000,1066555
304410,The Belier Family,2014,0,0
373314,Misconduct,2016,11000000,2352511
9034,The Banger Sisters,2002,10000000,38067218
10984,Valentine,2001,10000000,20384136
9526,A Prairie Home Companion,2006,10000000,26716191
39349,Sugar Hill,1994,10000000,18423914
15983,Invasion U.S.A.,1985,0,1200000
14544,Roll Bounce,2005,10000000,17433072
8359,Kit Kittredge: An American Girl,2008,10000000,17657973
15648,The Perfect Man,2005,10000000,19535005
11891,Kung Pow: Enter the Fist,2002,10000000,17033556
164558,One Direction: This Is Us,2013,10000000,68481723
19905,"The Goods: Live Hard, Sell Hard",2009,10000000,15297318
17710,Hey Arnold! The Movie,2002,0,0
27322,Love Jones,1997,10000000,12554569
14120,End of the Spear,2005,10000000,11924041
10050,Get Over It,2001,10000000,19860259
9893,Sleepover,2004,10000000,9424052
3472,Dirty Pretty Things,2002,10000000,14156753
13160,Over Her Dead Body,2008,10000000,21596074
52067,Cedar Rapids,2011,10000000,7862131
134597,The Collection,2012,10000000,8890094
24034,Teacher's Pet,2004,0,0
404,The Straight Story,1999,10000000,6199310
13201,Deuces Wild,2002,10000000,6244618
34043,On the Line,2001,10000000,4690802
41110,I Am Love,2009,10000000,15121528
134371,Atlas Shrugged Part II,2012,10000000,3336053
27342,Malone,1987,10000000,3000000
13689,Peaceful Warrior,2006,10000000,3260179
67911,Bucky Larson: Born to Be a Star,2011,10000000,2529395
24664,Bamboozled,2000,10000000,2373937
9613,Spider,2002,10000000,1641788
29339,Nicholas Nickleby,2002,10000000,3311924
32740,Krrish,2006,10000000,32430721
14195,Cecil B. Demented,2000,10000000,1953882
15394,Owning Mahowny,2003,10000000,1147871
10071,The Brothers Solomon,2007,10000000,900926
91076,Illuminata,1998,10000000,836641
11770,Shaolin Soccer,2001,10000000,42776032
12703,The Brown Bunny,2004,10000000,630427
64559,The Swindle,1997,10000000,5045359
222649,Rosewater,2014,10000000,3185717
115872,The Chambermaid on the Titanic,1997,0,0
25350,Imaginary Heroes,2004,10000000,290875
10034,High Heels and Low Lifes,2001,10000000,2151098
5072,Severance,2006,10000000,5950002
18191,Edmond,2005,10000000,241719
31007,Welcome to the Rileys,2010,10000000,355919
11546,Police Academy: Mission to Moscow,1994,0,0
41894,Blood Done Sign My Name,2010,10000000,109383
184374,Cinco de Mayo: La Batalla,2013,10000000,173472
268171,Elsa & Fred,2014,0,2847024
24663,The Open Road,2009,10000000,19716
39037,The Good Guy,2009,10000000,106460
22805,Motherhood,2009,10000000,723388
39055,Free Style,2008,10000000,721108
15017,Blonde Ambition,2007,10000000,1537479
12245,The Oxford Murders,2008,10000000,17704131
49787,The Reef,2010,10000000,15037867
16358,Eulogy,2004,10000000,91201
7006,White Noise 2: The Light,2007,10000000,8243567
66767,Beat the World,2011,0,0
17622,Fifty Dead Men Walking,2008,10000000,997921
283671,Jungle Shuffle,2014,10000000,360898
18516,Adam Resurrected,2008,10000000,90909
42057,It's a Wonderful Afterlife,2010,10000000,1642939
17577,The Devil's Tomb,2009,10000000,0
14608,Partition,2007,10000000,0
34417,Good Intentions,2010,10000000,0
15067,"The Good, The Bad, The Weird",2008,0,0
43090,Gunless,2010,9900000,458054
250066,American Heist,2014,10000000,2341218
208869,Plastic,2014,10000000,575371
106845,Re-Kill,2015,9500000,0
11827,Heavy Metal,1981,9300000,19571091
22820,Gentlemen Broncos,2009,9500000,119955
31174,Richard III,1995,9200000,4199334
244316,Into the Grizzly Maze,2015,10000000,0
37737,Kites,2010,9200000,17155193
66125,Red Dog,2011,9100000,20927794
132316,Jab Tak Hai Jaan,2012,9200000,5806666
68684,Detention,2011,10000000,0
10472,Down to You,2000,9000000,20035310
6521,The Contender,2000,9000000,17804273
16428,Breakin' All the Rules,2004,9000000,12512317
10705,Henry V,1989,9000000,10176701
8272,The Savages,2007,9000000,10642023
24621,Chasing Papi,2003,9000000,12657377
14624,The Ultimate Gift,2006,9000000,3438735
10179,The Ice Pirates,1984,9000000,13075390
