id,title,year,budget,revenue
4409,Frat Party,2009,1000000,0
4410,The Party's Over,1965,1000000,0
4411,Proud,2004,1000000,0
4412,The Poker House,2008,1000000,0
4413,Childless,2015,1000000,1036
4414,ZMD: Zombies of Mass Destruction,2009,0,0
4415,Snow White: A Deadly Summer,2012,1000000,0
4416,Hidden Away,2014,1000000,0
4417,My Last Day Without You,2011,1000000,0
4418,Steppin: The Movie,2009,1000000,0
4419,Doc Holliday's Revenge,2014,1000000,0
4420,Black Rock,2012,1000000,0
4421,Truth or Dare,2012,3500000,95292744
4422,The Pet,2006,1000000,0
4423,Bang Bang Baby,2014,1000000,0
4424,Fear Clinic,2014,1000000,0
4425,Zombie Hunter,2013,1000000,0
4426,A Fine Step,2014,1000000,0
4428,Banshee Chapter,2013,950000,78122
4429,Ask Me Anything,2014,950000,0
4430,And Then Came Love,2007,989000,8158
4431,Food Chains,2014,913000,176
4435,The Horror Network Vol. 1,2015,0,0
4438,Circumstance,2011,900000,958978
4439,Fruitvale Station,2013,900000,17549645
