id,title,year,budget,revenue
520,Dancin' It's On,2015,1200000.0,27000
522,The Cry of the Owl,2009,0,0
523,A Tale of Three Cities,2015,0,0
524,Trash,2014,0,536000.0
526,Drive Hard,2014,120000.0,0
532,O,2001,0,1921000.0
535,Brighton Rock,2010,1200000.0,182900.0
536,Machine Gun McCain,1969,0,0
544,The Belier Family,2014,1300000.0,7280000.0
550,Invasion U.S.A.,1985,1200000.0,1750000.0
557,Hey Arnold! The Movie,2002,300000.0,1520000.0
566,Teacher's Pet,2004,1000000.0,650000.0
58,Man of the House,2005,4000000.0,2160000.0
587,The Chambermaid on the Titanic,1997,0,0
593,Police Academy: Mission to Moscow,1994,1000000.0,126247
596,Elsa & Fred,2014,0,0
606,Beat the World,2011,0,933540
61,Anna Karenina,2012,4060000.0,6890000.000000001
611,The Devil's Tomb,2009,1000000.0,0
612,Partition,2007,1000000.0,0
613,Good Intentions,2010,0,0
614,"The Good, The Bad, The Weird",2008,1000000.0,4430000.0
618,Re-Kill,2015,950000.0,0
62,The Tooth Fairy,2006,0,0
622,Into the Grizzly Maze,2015,1000000.0,0
626,Detention,2011,1000000.0,0
638,The Wailing,2016,800000.0,5130000.0
64,Earth,1998,0,0
640,Two Evil Eyes,1990,900000.0,349618
642,Flame & Citron,2008,0,0
643,Red Riding: In the Year of Our Lord 1974,2009,0,0
644,The Girl on the Train,2009,0,150000.0
646,"Ultramarines: A Warhammer 40,000 Movie",2010,0,0
647,The I Inside,2004,1000000.0,4370000.0
650,Star Wars: Clone Wars: Volume 1,2005,0,0
652,Shipwrecked,1990,6000000.0,1510000.0
654,The Haunting in Connecticut 2: Ghosts of Georgia,2013,150000.0,509999.99999999994
657,Repo! The Genetic Opera,2008,850000.0,188126
658,Valley of the Wolves: Iraq,2006,0,2790000.0
67,"Yours, Mine and Ours",1968,250000.0,2590000.0
673,8 Women,2002,800000.0,4240000.0
676,When Did You Last See Your Father?,2007,0,271000.0
679,Restless,2012,0,0
684,Wuthering Heights,2009,0,0
687,My Lucky Star,2013,800000.0,2279000.0
690,Green Street Hooligans: Underground,2013,0,0
692,Code of Honor,2016,800000.0,0
694,Far from Men,2014,540000.0,835031
698,Betty Fisher and Other Stories,2001,900000.0,468
706,Pound of Flesh,2015,750000.0,0
713,Alien Zone,1978,0,0
728,The Visitors,1993,950000.0,9880000.0
735,Z Storm,2014,0,1723000.0
737,Alpha and Omega: The Legend of the Saw Tooth Cave,2014,0,0
739,High School Musical 2,2007,700000.0,0
747,Elite Squad,2007,1100000.0,1407000.0
75,Curse of the Golden Flower,2006,4500000.0,7856999.999999999
766,Goddess of Love,2015,0,0
774,Julia,1977,784000.0,2070000.0
776,11:14,2003,600000.0,0
777,Men of War,1994,600000.0,0
779,A Shine of Rainbows,2009,0,0
780,The Hit List,2011,600000.0,0
782,Freaky Deaky,2012,0,0
793,The Chorus,2004,0,8359999.999999999
795,Le Havre,2011,380000.0,1294000.0
798,Animals,2014,0,0
8,All That Jazz,1979,1200000.0,3779999.9999999995
802,Headhunters,2011,363700.0,1539000.0
81,Why I Did (Not) Eat My Father,2015,3200000.0,1430000.0
822,Saved!,2004,500000.0,1010000.0
842,Sleep Tight,2011,500000.0,869999.9999999999
844,Dead Like Me: Life After Death,2009,0,0
845,Farce of the Penguins,2006,0,0
848,Henry & Me,2014,0,0
849,Christmas Eve,2015,0,91302
850,We Have Your Husband,2011,0,0
852,Born Of War,2013,0,0
854,Should've Been Romeo,2012,0,0
855,Running Forever,2015,0,0
857,Navy Seals vs. Zombies,2015,120000.0,0
858,I Served the King of England,2006,8445000.0,730000.0
859,A Cock and Bull Story,2005,0,0
